appid,precio,fecha,reseñas
1011590,24.99,"Apr 14, 2025",320
1011590,21.21,"Apr 14, 2025",320
1011590,24.99,"Apr 14, 2025",320
1011610,19.99,"Apr 9, 2020",493
1011610,11.01,"Apr 9, 2020",493
1011610,19.99,"Apr 9, 2020",493
1011620,4.99,"Feb 22, 2019",0
1011620,4.2,"Feb 22, 2019",0
1011620,4.99,"Feb 22, 2019",0
1011630,9.99,"Feb 7, 2019",0
1011630,5.25,"Feb 7, 2019",0
1011630,9.99,"Feb 7, 2019",0
1011670,2.99,"Apr 1, 2021",1488
1011670,2.59,"Apr 1, 2021",1488
1011670,2.99,"Apr 1, 2021",1488
1011700,9.99,"Mar 18, 2019",0
1011700,8.48,"Mar 18, 2019",0
1011700,9.99,"Mar 18, 2019",0
1011740,0.99,"Apr 5, 2019",0
1011740,0.82,"Apr 5, 2019",0
1011740,0.99,"Apr 5, 2019",0
1011830,2.99,"Dec 13, 2019",0
1011830,1.89,"Dec 13, 2019",0
1011830,2.99,"Dec 13, 2019",0
1012110,19.99,"Dec 16, 2022",1687
1012110,13.27,"Dec 16, 2022",1687
1012110,19.99,"Dec 16, 2022",1687
1012120,3.99,"Jan 30, 2019",0
1012120,2.5,"Jan 30, 2019",0
1012120,3.99,"Jan 30, 2019",0
1012140,0.0,"Jun 24, 2019",0
1012140,0.0,"Jun 24, 2019",0
1012140,0.0,"Jun 24, 2019",0
1012160,0.99,"Feb 13, 2019",0
1012160,0.64,"Feb 13, 2019",0
1012160,0.99,"Feb 13, 2019",0
1012330,7.99,"May 27, 2022",0
1012330,5.49,"May 27, 2022",0
1012330,7.99,"May 27, 2022",0
1012360,14.99,"Aug 6, 2019",0
1012360,10.2,"Aug 6, 2019",0
1012360,14.99,"Aug 6, 2019",0
1012460,0.99,"Mar 25, 2019",199
1012460,0.82,"Mar 25, 2019",199
1012460,0.99,"Mar 25, 2019",199
1012530,0.99,"Aug 6, 2020",0
1012530,0.75,"Aug 6, 2020",0
1012530,0.99,"Aug 6, 2020",0
1012560,9.99,"May 10, 2019",2316
1012560,5.08,"May 10, 2019",2316
1012560,9.99,"May 10, 2019",2316
1012570,19.99,"Nov 22, 2023",501
1012570,15.15,"Nov 22, 2023",501
1012570,19.99,"Nov 22, 2023",501
1012580,34.99,"Nov 26, 2019",0
1012580,27.67,"Nov 26, 2019",0
1012580,34.99,"Nov 26, 2019",0
1012600,3.99,"Feb 6, 2019",0
1012600,2.35,"Feb 6, 2019",0
1012600,3.99,"Feb 6, 2019",0
1012630,0.89,"May 6, 2019",1091
1012630,0.45,"May 6, 2019",1091
1012630,0.89,"May 6, 2019",1091
1012650,7.99,"Feb 7, 2019",0
1012650,5.75,"Feb 7, 2019",0
1012650,7.99,"Feb 7, 2019",0
1012670,0.99,"Dec 31, 2019",0
1012670,0.62,"Dec 31, 2019",0
1012670,0.99,"Dec 31, 2019",0
1012790,29.99,"Jul 20, 2020",9445
1012790,26.57,"Jul 20, 2020",9445
1012790,29.99,"Jul 20, 2020",9445
1012820,0.0,"Jun 24, 2019",0
1012820,0.0,"Jun 24, 2019",0
1012820,0.0,"Jun 24, 2019",0
1012840,24.99,"Oct 22, 2019",2111
1012840,20.5,"Oct 22, 2019",2111
1012840,24.99,"Oct 22, 2019",2111
1012850,4.99,"Jan 13, 2022",0
1012850,3.6,"Jan 13, 2022",0
1012850,4.99,"Jan 13, 2022",0
1012860,0.55,"Jan 25, 2019",0
1012860,0.29,"Jan 25, 2019",0
1012860,0.55,"Jan 25, 2019",0
1012880,9.99,"Jul 25, 2019",16849
1012880,7.69,"Jul 25, 2019",16849
1012880,9.99,"Jul 25, 2019",16849
1012900,11.99,"Jan 30, 2019",115
1012900,8.43,"Jan 30, 2019",115
1012900,11.99,"Jan 30, 2019",115
1012970,3.99,"Aug 12, 2019",0
1012970,2.59,"Aug 12, 2019",0
1012970,3.99,"Aug 12, 2019",0
1013000,0.99,"Sep 1, 2023",0
1013000,0.51,"Sep 1, 2023",0
1013000,0.99,"Sep 1, 2023",0
1013040,9.99,"Jul 11, 2019",0
1013040,6.55,"Jul 11, 2019",0
1013040,9.99,"Jul 11, 2019",0
1013070,2.99,"Feb 4, 2019",0
1013070,1.67,"Feb 4, 2019",0
1013070,2.99,"Feb 4, 2019",0
1013100,2.99,"Jul 14, 2019",0
1013100,2.3,"Jul 14, 2019",0
1013100,2.99,"Jul 14, 2019",0
1013130,1.99,"Apr 4, 2019",0
1013130,1.44,"Apr 4, 2019",0
1013130,1.99,"Apr 4, 2019",0
1013140,39.99,"Mar 15, 2024",1020
1013140,28.2,"Mar 15, 2024",1020
1013140,39.99,"Mar 15, 2024",1020
1013200,3.99,"Dec 14, 2019",0
1013200,2.19,"Dec 14, 2019",0
1013200,3.99,"Dec 14, 2019",0
1013220,14.99,"Jul 20, 2022",251
1013220,8.3,"Jul 20, 2022",251
1013220,14.99,"Jul 20, 2022",251
1013280,4.99,"Mar 13, 2019",0
1013280,3.91,"Mar 13, 2019",0
1013280,4.99,"Mar 13, 2019",0
1013290,13.99,"Jun 5, 2019",0
1013290,8.26,"Jun 5, 2019",0
1013290,13.99,"Jun 5, 2019",0
1013310,0.0,"Aug 20, 2020",431
1013310,0.0,"Aug 20, 2020",431
1013310,0.0,"Aug 20, 2020",431
1013320,0.0,"Apr 1, 2024",0
1013320,0.0,"Apr 1, 2024",0
1013320,0.0,"Apr 1, 2024",0
1013450,14.99,"May 29, 2025",0
1013450,11.3,"May 29, 2025",0
1013450,14.99,"May 29, 2025",0
1013540,14.99,"Feb 14, 2019",348
1013540,12.54,"Feb 14, 2019",348
1013540,14.99,"Feb 14, 2019",348
1013580,0.99,"Feb 11, 2019",0
1013580,0.58,"Feb 11, 2019",0
1013580,0.99,"Feb 11, 2019",0
1013600,9.99,"Jan 17, 2020",0
1013600,8.26,"Jan 17, 2020",0
1013600,9.99,"Jan 17, 2020",0
1013650,4.99,"Mar 1, 2019",0
1013650,3.87,"Mar 1, 2019",0
1013650,4.99,"Mar 1, 2019",0
1013660,13.99,"Mar 11, 2019",0
1013660,11.15,"Mar 11, 2019",0
1013660,13.99,"Mar 11, 2019",0
1013670,2.99,"Jul 10, 2019",0
1013670,2.14,"Jul 10, 2019",0
1013670,2.99,"Jul 10, 2019",0
1013730,0.0,"Jun 24, 2019",0
1013730,0.0,"Jun 24, 2019",0
1013730,0.0,"Jun 24, 2019",0
1013750,6.99,"May 6, 2019",542
1013750,4.9,"May 6, 2019",542
1013750,6.99,"May 6, 2019",542
1013790,3.99,"Mar 12, 2019",0
1013790,3.42,"Mar 12, 2019",0
1013790,3.99,"Mar 12, 2019",0
1013810,1.99,"Jul 18, 2019",0
1013810,1.38,"Jul 18, 2019",0
1013810,1.99,"Jul 18, 2019",0
1013820,1.99,"Mar 22, 2020",0
1013820,1.79,"Mar 22, 2020",0
1013820,1.99,"Mar 22, 2020",0
1013890,0.99,"Feb 7, 2019",0
1013890,0.57,"Feb 7, 2019",0
1013890,0.99,"Feb 7, 2019",0
1013910,19.99,"Apr 7, 2021",194
1013910,16.15,"Apr 7, 2021",194
1013910,19.99,"Apr 7, 2021",194
1013940,5.99,"Feb 6, 2019",0
1013940,4.21,"Feb 6, 2019",0
1013940,5.99,"Feb 6, 2019",0
1014020,0.0,"Mar 14, 2019",0
1014020,0.0,"Mar 14, 2019",0
1014020,0.0,"Mar 14, 2019",0
1014040,7.99,"Feb 4, 2020",366
1014040,6.48,"Feb 4, 2020",366
1014040,7.99,"Feb 4, 2020",366
1014050,19.99,"Jan 31, 2020",0
1014050,12.53,"Jan 31, 2020",0
1014050,19.99,"Jan 31, 2020",0
1014110,9.99,"Feb 10, 2020",0
1014110,5.22,"Feb 10, 2020",0
1014110,9.99,"Feb 10, 2020",0
1014130,5.99,"May 20, 2019",117
1014130,4.89,"May 20, 2019",117
1014130,5.99,"May 20, 2019",117
1014140,7.99,"Feb 20, 2019",222
1014140,5.5,"Feb 20, 2019",222
1014140,7.99,"Feb 20, 2019",222
1014260,19.99,"Oct 16, 2024",0
1014260,17.63,"Oct 16, 2024",0
1014260,19.99,"Oct 16, 2024",0
1014270,2.49,"Apr 11, 2019",0
1014270,1.72,"Apr 11, 2019",0
1014270,2.49,"Apr 11, 2019",0
1014360,7.99,"Mar 26, 2020",0
1014360,5.13,"Mar 26, 2020",0
1014360,7.99,"Mar 26, 2020",0
1014420,2.99,"Feb 13, 2019",0
1014420,1.72,"Feb 13, 2019",0
1014420,2.99,"Feb 13, 2019",0
1014440,0.0,"Jun 24, 2019",0
1014440,0.0,"Jun 24, 2019",0
1014440,0.0,"Jun 24, 2019",0
1014470,7.99,"Feb 5, 2019",0
1014470,5.54,"Feb 5, 2019",0
