appid,precio,fecha,reseñas
1018980,0.0,"Feb 6, 2019",0
1018980,0.0,"Feb 6, 2019",0
1018980,0.0,"Feb 6, 2019",0
1019050,4.99,"Oct 13, 2023",0
1019050,3.14,"Oct 13, 2023",0
1019050,4.99,"Oct 13, 2023",0
1019060,0.99,"Mar 8, 2019",0
1019060,0.59,"Mar 8, 2019",0
1019060,0.99,"Mar 8, 2019",0
1019070,3.99,"Feb 20, 2019",0
1019070,3.15,"Feb 20, 2019",0
1019070,3.99,"Feb 20, 2019",0
1019150,1.99,"Feb 6, 2019",0
1019150,1.5,"Feb 6, 2019",0
1019150,1.99,"Feb 6, 2019",0
1019190,5.99,"Mar 3, 2021",0
1019190,4.53,"Mar 3, 2021",0
1019190,5.99,"Mar 3, 2021",0
1019240,4.99,"Oct 10, 2019",0
1019240,3.55,"Oct 10, 2019",0
1019240,4.99,"Oct 10, 2019",0
1019250,0.0,"Feb 22, 2019",0
1019250,0.0,"Feb 22, 2019",0
1019250,0.0,"Feb 22, 2019",0
1019310,14.99,"May 12, 2020",946
1019310,9.05,"May 12, 2020",946
1019310,14.99,"May 12, 2020",946
1019340,0.0,"Sep 18, 2019",0
1019340,0.0,"Sep 18, 2019",0
1019340,0.0,"Sep 18, 2019",0
1019370,8.99,"Mar 22, 2019",0
1019370,6.9,"Mar 22, 2019",0
1019370,8.99,"Mar 22, 2019",0
1019400,0.0,"Oct 7, 2019",0
1019400,0.0,"Oct 7, 2019",0
1019400,0.0,"Oct 7, 2019",0
1019420,0.0,"Mar 28, 2019",136
1019420,0.0,"Mar 28, 2019",136
1019420,0.0,"Mar 28, 2019",136
1019450,17.99,"Feb 14, 2020",360
1019450,12.65,"Feb 14, 2020",360
1019450,17.99,"Feb 14, 2020",360
1019550,19.99,"Nov 5, 2020",1288
1019550,14.17,"Nov 5, 2020",1288
1019550,19.99,"Nov 5, 2020",1288
1019590,9.99,"Jun 18, 2019",106
1019590,6.59,"Jun 18, 2019",106
1019590,9.99,"Jun 18, 2019",106
1019630,0.99,"Mar 21, 2019",0
1019630,0.84,"Mar 21, 2019",0
1019630,0.99,"Mar 21, 2019",0
