steamid,game
76561197978640923,Team Fortress Classic
76561197978640923,Day of Defeat
76561197978640923,Deathmatch Classic
76561197978640923,Half-Life: Opposing Force
76561197978640923,Ricochet
76561197978640923,Half-Life
76561197978640923,Counter-Strike: Condition Zero
76561197978640923,Counter-Strike: Condition Zero Deleted Scenes
76561197978640923,Half-Life: Blue Shift
76561197978640923,Half-Life 2
76561197978640923,Counter-Strike: Source
76561197978640923,Half-Life: Source
76561197978640923,Day of Defeat: Source
76561197978640923,Half-Life 2: Deathmatch
76561198842864763,10
76561198842864763,Team Fortress Classic
76561198842864763,Day of Defeat
76561198842864763,Deathmatch Classic
76561198842864763,Half-Life: Opposing Force
76561198842864763,Ricochet
76561198842864763,Half-Life
76561198842864763,Counter-Strike: Condition Zero
76561198842864763,Counter-Strike: Condition Zero Deleted Scenes
76561198842864763,Half-Life: Blue Shift
76561198842864763,Half-Life 2
76561198842864763,Counter-Strike: Source
76561198842864763,Half-Life: Source
76561198842864763,Day of Defeat: Source
76561198842864763,Half-Life 2: Deathmatch
76561198044387084,10
76561198044387084,Team Fortress Classic
76561198044387084,Day of Defeat
76561198044387084,Deathmatch Classic
76561198044387084,Half-Life: Opposing Force
76561198044387084,Ricochet
76561198044387084,Half-Life
76561198044387084,Counter-Strike: Condition Zero
76561198044387084,Counter-Strike: Condition Zero Deleted Scenes
76561198044387084,Half-Life: Blue Shift
76561198044387084,Half-Life 2
76561198044387084,Counter-Strike: Source
76561198044387084,Half-Life: Source
76561198044387084,Day of Defeat: Source
76561198044387084,Half-Life 2: Deathmatch
76561198096081579,10
76561198096081579,Team Fortress Classic
76561198096081579,Day of Defeat
76561198096081579,Deathmatch Classic
76561198096081579,Half-Life: Opposing Force
76561198096081579,Ricochet
76561198096081579,Half-Life
76561198096081579,Counter-Strike: Condition Zero
76561198096081579,Counter-Strike: Condition Zero Deleted Scenes
76561198096081579,Half-Life: Blue Shift
76561198096081579,Half-Life 2
76561198096081579,Counter-Strike: Source
76561198096081579,Half-Life: Source
76561198096081579,Day of Defeat: Source
76561198096081579,Half-Life 2: Deathmatch
76561198150467988,10
76561198150467988,Team Fortress Classic
76561198150467988,Day of Defeat
76561198150467988,Deathmatch Classic
76561198150467988,Half-Life: Opposing Force
76561198150467988,Ricochet
76561198150467988,Half-Life
76561198150467988,Counter-Strike: Condition Zero
76561198150467988,Counter-Strike: Condition Zero Deleted Scenes
76561198150467988,Half-Life: Blue Shift
76561198150467988,Half-Life 2
76561198150467988,Counter-Strike: Source
76561198150467988,Half-Life: Source
76561198150467988,Day of Defeat: Source
76561198150467988,Half-Life 2: Deathmatch
76561198256917957,10
76561198256917957,Team Fortress Classic
76561198256917957,Day of Defeat
76561198256917957,Deathmatch Classic
76561198256917957,Half-Life: Opposing Force
76561198256917957,Ricochet
76561198256917957,Half-Life
76561198256917957,Counter-Strike: Condition Zero
76561198256917957,Counter-Strike: Condition Zero Deleted Scenes
76561198256917957,Half-Life: Blue Shift
76561198256917957,Half-Life 2
76561198256917957,Counter-Strike: Source
76561198256917957,Half-Life: Source
76561198256917957,Day of Defeat: Source
76561198256917957,Half-Life 2: Deathmatch
76561199492215670,10
76561199492215670,Team Fortress Classic
76561199492215670,Day of Defeat
76561199492215670,Deathmatch Classic
76561199492215670,Half-Life: Opposing Force
76561199492215670,Ricochet
76561199492215670,Half-Life
76561199492215670,Counter-Strike: Condition Zero
76561199492215670,Counter-Strike: Condition Zero Deleted Scenes
76561199492215670,Half-Life: Blue Shift
76561199492215670,Half-Life 2
76561199492215670,Counter-Strike: Source
76561199492215670,Half-Life: Source
76561199492215670,Day of Defeat: Source
76561199492215670,Half-Life 2: Deathmatch
76561198396723427,10
76561198396723427,Team Fortress Classic
76561198396723427,Day of Defeat
76561198396723427,Deathmatch Classic
76561198396723427,Half-Life: Opposing Force
76561198396723427,Ricochet
76561198396723427,Half-Life
76561198396723427,Counter-Strike: Condition Zero
76561198396723427,Counter-Strike: Condition Zero Deleted Scenes
76561198396723427,Half-Life: Blue Shift
76561198396723427,Half-Life 2
76561198396723427,Counter-Strike: Source
76561198396723427,Half-Life: Source
76561198396723427,Day of Defeat: Source
76561198396723427,Half-Life 2: Deathmatch
76561197972951657,10
76561197972951657,Team Fortress Classic
76561197972951657,Day of Defeat
76561197972951657,Deathmatch Classic
76561197972951657,Half-Life: Opposing Force
76561197972951657,Ricochet
76561197972951657,Half-Life
76561197972951657,Counter-Strike: Condition Zero
76561197972951657,Counter-Strike: Condition Zero Deleted Scenes
76561197972951657,Half-Life: Blue Shift
76561197972951657,Half-Life 2
76561197972951657,Counter-Strike: Source
76561197972951657,Half-Life: Source
76561197972951657,Day of Defeat: Source
76561197972951657,Half-Life 2: Deathmatch
76561197997477460,10
76561197997477460,Team Fortress Classic
76561197997477460,Day of Defeat
76561197997477460,Deathmatch Classic
76561197997477460,Half-Life: Opposing Force
76561197997477460,Ricochet
76561197997477460,Half-Life
76561197997477460,Counter-Strike: Condition Zero
76561197997477460,Counter-Strike: Condition Zero Deleted Scenes
76561197997477460,Half-Life: Blue Shift
76561197997477460,Half-Life 2
76561197997477460,Counter-Strike: Source
76561197997477460,Half-Life: Source
76561197997477460,Day of Defeat: Source
76561197997477460,Half-Life 2: Deathmatch
76561197963534359,10
76561197963534359,Team Fortress Classic
76561197963534359,Day of Defeat
76561197963534359,Deathmatch Classic
76561197963534359,Half-Life: Opposing Force
76561197963534359,Ricochet
76561197963534359,Half-Life
76561197963534359,Counter-Strike: Condition Zero
76561197963534359,Counter-Strike: Condition Zero Deleted Scenes
76561197963534359,Half-Life: Blue Shift
76561197963534359,Half-Life 2
76561197963534359,Counter-Strike: Source
76561197963534359,Half-Life: Source
